Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate
"[""1"",""3"",""2"",""4"",""4"",""1""]","[2.099,4.436,5.386,6.849,9.448,9.949]",0,0,0,0,1,41324,,10,1,2020-10-06_09h52.07.203,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.934,1.248,2.014,2.522,3.398,4.059,4.348,5.084,5.734,6.222,7.247,7.499,8.022,8.409,8.822,9.684,9.984]",0,1,1,1,1,41324,,10,1,2020-10-06_09h52.07.203,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.769,0.994,1.668,1.931,2.268,2.606,2.845,3.481,3.727,4.156,4.51,4.693,5.195,5.411,5.868,6.23,6.378,6.731,6.943,7.46,7.844,8.03,8.518,8.76,9.143,9.468,9.668]",0,2,2,2,1,41324,,10,1,2020-10-06_09h52.07.203,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[0.552,0.701,1.051,1.265,1.565,1.851,2.039,2.481,2.701,2.901,3.23,3.401,3.814,4.139,4.33,4.64,4.797,5.201,5.414,5.58,5.864,6.047,6.439,6.88,7.201,7.464,7.864,8.351,8.682,8.914,9.18,9.331,9.701,9.866]",0,3,3,3,1,41324,,10,1,2020-10-06_09h52.07.203,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""4"",""2"",""4"",""2"",""4"",""1""]","[0.55,0.687,1.099,1.366,1.624,1.937,2.174,2.587,2.849,3.132,3.349,3.549,3.824,4.049,4.224,4.8,4.987,5.299,5.486,5.666,6.024,6.232,6.549,6.866,7.099,7.399,7.587,7.887,8.065,8.201,8.937,9.099,9.624,9.819]",0,4,4,4,1,41324,,30,1,2020-10-06_09h52.07.203,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.516,0.675,1.233,1.466,1.687,2.015,2.265,2.925,3.2,3.5,3.85,4.087,4.625,4.837,5.05,5.387,5.588,6.016,6.199,6.449,6.799,7.032,7.483,7.699,7.916,8.266,8.465,8.916,9.113,9.316,9.632,9.837]",0,5,5,5,1,41324,,0,1,2020-10-06_09h52.07.203,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3""]","[1.123,2.063,2.63,3.148,3.398,4.035,4.998,5.464,5.864,6.214,6.623,7.398,7.823,8.273,8.473,8.923,9.431,9.735]",0,6,6,6,1,42314,,10,1,2020-10-06_09h52.07.203,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[0.925,1.337,2.225,2.564,2.887,3.264,3.837,4.231,4.453,4.748,5.087,5.337,6.275,6.65,6.932,7.221,7.425,7.875,8.137,8.375,8.665,8.881,9.537,9.787]",0,7,7,7,1,41324,,0,1,2020-10-06_09h52.07.203,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3""]","[0.159,1.384,2.548,2.909,3.121,3.509,4.171,5.134,5.534,5.798,6.234,7.071,7.471,7.771,8.084,8.521,9.148,9.581]",0,8,8,8,1,42314,,10,1,2020-10-06_09h52.07.203,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.808,0.965,2.339,2.825,3.125,3.55,3.808,4.382,4.648,4.95,5.325,5.665,6.188,6.414,6.775,7.148,7.398,8.3,8.688,9.031,9.382,9.648]",0,9,9,9,1,41324,,0,1,2020-10-06_09h52.07.203,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4""]","[1.018,1.555,1.968,2.332,2.618,3.366,4.031,4.768,5.098,5.418,5.918,6.27,6.618,6.931,7.268,7.805,8.405,8.791,9.098,9.418,9.968]",0,10,10,10,1,42314,,10,1,2020-10-06_09h52.07.203,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[0.686,0.874,1.324,1.562,1.887,2.262,2.5,3.401,3.851,4.437,4.812,5.062,5.524,5.712,5.954,6.288,6.504,6.912,7.088,7.358,7.671,7.874,8.404,8.588,8.854,9.124,9.337,9.762,10.004]",0,11,11,11,1,41324,,0,1,2020-10-06_09h52.07.203,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[0.165,1.382,2.39,2.682,2.882,3.215,3.665,4.315,4.615,4.86,5.302,6.065,6.465,6.702,6.954,7.315,7.598,8.048,8.332,8.579,8.915,9.152,9.465,9.681,9.902]",0,12,12,12,1,42314,,10,1,2020-10-06_09h52.07.203,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[1.185,1.384,1.822,2.222,2.471,2.771,2.959,3.596,3.784,4.021,4.313,4.471,5.11,5.271,5.496,5.909,6.059,6.534,6.759,6.979,7.313,7.484,7.984,8.271,8.521,8.784,8.996,9.546,9.734]",0,13,13,13,1,41324,,0,1,2020-10-06_09h52.07.203,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""1"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2""]","[0.18,1.033,1.605,2.468,2.905,3.468,3.667,3.88,4.333,4.792,5.342,5.592,5.843,6.205,6.505,7.017,7.257,7.625,7.883,8.167,8.567,8.867,9.118,9.442,9.733]",0,14,14,14,1,42314,,10,1,2020-10-06_09h52.07.203,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[1.095,1.304,2.029,2.229,2.517,2.867,3.129,3.567,3.754,4.241,4.596,4.854,5.567,5.766,6.104,6.467,6.698,7.154,7.366,7.817,8.232,8.536,9.142,9.317,9.604,9.967]",0,15,15,15,1,41324,,10,1,2020-10-06_09h52.07.203,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[1.018,1.181,1.606,1.769,2.019,2.406,2.844,3.244,3.48,3.897,4.569,4.844,5.356,5.556,5.956,6.294,6.519,7.063,7.269,7.632,7.996,8.256,8.757,8.963,9.313,9.656,9.906]",0,16,16,16,1,41324,,10,1,2020-10-06_09h52.07.203,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""3"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[0.532,0.669,1.081,1.269,1.517,1.906,2.194,2.817,3.033,3.406,3.756,3.969,4.406,4.594,4.844,5.181,5.394,5.883,6.583,7.166,7.533,7.731,8.306,8.531,8.956,9.256,9.494,9.831,9.969]",0,17,17,17,1,41324,,10,1,2020-10-06_09h52.07.203,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.683,0.85,1.501,1.652,1.933,2.276,2.516,3.001,3.181,3.438,3.831,4.082,4.576,4.766,5.132,5.939,6.226,6.831,7.133,7.665,8.082,8.282,8.747,8.949,9.281,9.633,9.838]",0,18,18,18,1,41324,,10,1,2020-10-06_09h52.07.203,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.485,0.635,1.285,1.451,1.695,2.07,2.285,2.922,3.104,3.508,3.921,4.172,4.622,4.797,5.095,5.421,5.621,5.945,6.204,6.639,6.986,7.173,7.522,7.705,7.984,8.321,8.523,8.87,9.052,9.306,9.621,9.795]",0,19,19,19,1,41324,,10,1,2020-10-06_09h52.07.203,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[0.73,0.887,1.35,1.531,1.729,2.063,2.25,2.846,3.034,3.297,3.614,3.837,4.287,4.481,4.85,5.213,5.43,5.98,6.196,6.437,6.763,6.98,7.381,7.678,7.987,8.313,8.563,9.113,9.347,9.712,9.987]",0,20,20,20,1,41324,,10,1,2020-10-06_09h52.07.203,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.466,0.683,1.19,1.377,1.577,1.949,2.183,2.64,2.832,3.052,3.39,3.599,4.066,4.228,4.477,4.816,5.027,5.577,5.728,5.916,6.266,6.492,6.916,7.153,7.453,7.827,8.016,8.59,8.786,9.04,9.753,9.969]",0,21,21,21,1,41324,,0,1,2020-10-06_09h52.07.203,Sequence Training,2020.1.3,Win32,60
