Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[1.721,2.212,3.39,4.172,4.585,5.928,6.453,6.969,7.284,7.706,8.678,9.334,9.767]",0,0,0,0,1,41324,,10,1,2020-12-29_12h31.11.038,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.618,1.999,2.444,2.758,3.106,3.558,3.988,4.458,4.733,5.065,5.587,6.082,6.457,6.781,7.156,7.865,8.781,9.147,9.476,9.847]",0,1,1,1,1,41324,,10,1,2020-12-29_12h31.11.038,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[0.555,1.289,1.761,2.056,2.39,3,3.555,3.982,4.291,4.627,5.266,5.74,6.131,6.454,6.901,7.421,7.921,8.399,8.815,9.172,9.623]",0,2,2,2,1,41324,,10,1,2020-12-29_12h31.11.038,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.45,1.084,1.488,1.752,2.105,2.607,3.069,3.449,3.758,4.115,4.541,5.015,5.415,5.699,6.057,6.492,7.082,8.069,8.338,8.637,9.043,9.481,9.852]",0,3,3,3,1,41324,,10,1,2020-12-29_12h31.11.038,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.51,1.116,1.477,1.812,2.116,2.466,2.857,3.222,3.524,3.858,4.359,4.939,5.332,5.632,5.949,6.316,6.735,7.155,7.465,7.809,8.215,8.774,9.188,9.467,9.802]",0,4,4,4,1,41324,,30,1,2020-12-29_12h31.11.038,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.44,0.987,1.525,1.824,2.157,2.537,2.999,3.39,3.678,4.006,4.415,4.902,5.337,5.615,5.942,6.306,6.753,7.172,7.448,7.78,8.192,8.673,9.041,9.405,9.767]",0,5,5,5,1,41324,,0,1,2020-12-29_12h31.11.038,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""4""]","[0.125,1.968,2.318,2.555,2.842,3.288,3.791,4.156,4.536,4.936,5.303,5.764,6.177,6.547,6.922,7.413,8.832,9.338]",0,6,6,6,1,42314,,10,1,2020-12-29_12h31.11.038,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.545,1.038,1.472,1.773,2.105,2.488,2.927,3.307,3.636,3.973,4.356,4.808,5.158,5.488,5.861,6.345,6.976,7.39,7.674,8.004,8.415,8.821,9.173,9.456,9.931]",0,7,7,7,1,41324,,0,1,2020-12-29_12h31.11.038,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[2.51,3.482,3.89,4.207,4.645,5.464,6.302,6.767,7.037,7.389,7.889,8.373,8.763,9.077,9.527]",0,8,8,8,1,42314,,10,1,2020-12-29_12h31.11.038,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[0.851,1.742,2.232,2.492,2.816,3.199,3.643,4.142,4.435,4.773,5.383,5.865,6.301,6.631,6.97,7.381,7.848,8.247,8.559,8.916,9.735]",0,9,9,9,1,41324,,0,1,2020-12-29_12h31.11.038,Sequence Training,2020.1.3,Win32,60
