Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[1.096,1.245,2.21,2.324,2.85,3.435,3.53,3.992,4.078,4.349,4.779,4.825,5.354,5.451,5.629,6.002,6.079,6.458,6.558,6.719,7.177,7.4,7.997,8.082,8.274,8.546,8.612,9.002,9.099,9.276,9.583,9.665]",0,0,0,0,1,41324,,10,1,2021-01-12_16h46.56.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[0.849,0.927,1.195,1.332,1.469,1.747,1.823,2.19,2.298,2.43,2.665,2.777,3.02,3.128,3.249,3.677,3.747,4.16,4.252,4.382,4.668,4.764,5.117,5.227,5.39,5.68,5.776,6.113,6.225,6.402,6.671,6.763,7.07,7.201,7.357,7.844,7.963,8.311,8.428,8.575,8.839,8.98,9.361,9.445,9.581,9.982]",0,1,1,1,1,41324,,10,1,2021-01-12_16h46.56.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""4"",""3"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.736,0.819,1.11,1.238,1.324,1.658,1.763,1.988,2.086,4.009,4.089,4.347,4.472,4.541,5.038,5.121,5.459,5.602,5.739,6.076,6.161,6.489,6.603,6.744,7.105,7.206,7.522,7.623,7.771,8.173,8.302,8.61,8.732,8.843,9.168,9.294,9.624,9.754,9.879]",0,2,2,2,1,41324,,10,1,2021-01-12_16h46.56.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.541,0.62,0.724,0.821,0.926,1.325,1.402,1.626,1.724,1.8,2.266,2.338,2.533,2.616,2.692,3.356,3.425,3.584,3.651,3.783,4.517,4.585,4.725,4.822,4.921,5.45,5.517,5.657,5.765,5.866,6.234,6.317,6.466,6.633,7.043,7.385,7.464,7.639,7.737,7.857,8.302,8.385,8.759,8.866,8.993,9.321,9.45,9.717,9.851,9.988]",0,3,3,3,1,41324,,10,1,2021-01-12_16h46.56.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.821,0.88,0.974,1.103,1.228,1.657,1.734,1.963,2.077,2.194,2.52,2.593,2.799,2.924,3.057,3.341,3.427,3.557,3.703,3.811,4.456,4.54,4.67,4.787,4.858,5.545,5.644,5.747,5.871,6,6.308,6.416,6.507,6.64,6.735,7.242,7.341,7.445,7.571,7.665,8.028,8.13,8.474,8.885,9.228,9.556,9.693]",0,4,4,4,1,41324,,30,1,2021-01-12_16h46.56.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""1"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.185,1.277,1.415,1.541,1.685,1.818,4.051,4.184,4.317,4.478,4.637,4.994,5.128,5.301,5.44,5.618,6.001,6.139,6.313,6.465,6.619,6.989,7.132,7.254,7.398,7.527,9.52,9.648,9.758,9.865,10.016]",0,5,5,5,1,41324,,0,1,2021-01-12_16h46.56.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2""]","[0.894,1.572,1.872,2.017,2.181,3.558,3.819,4.04,4.789,4.99,5.306,5.515,5.729,5.93,6.064,6.32,6.503,6.69,6.89,7.039,7.331,7.523,7.692,7.895,8.023,8.414,8.594,8.789,9.002,9.127,9.489,9.878]",0,6,6,6,1,42314,,10,1,2021-01-12_16h46.56.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[0.894,1.058,1.558,1.663,1.777,2.1,2.195,2.774,2.9,3.066,3.361,3.498,4.042,4.225,4.379,4.691,4.878,5.169,5.353,5.517,5.824,6.202,6.576,6.76,6.928,7.219,7.433,7.878,8.045,8.201,8.519,8.715,9.24,9.428,9.601,9.911]",0,7,7,7,1,41324,,0,1,2021-01-12_16h46.56.341,Sequence Training,2020.1.3,Win32,60
"[""1"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4""]","[0.059,2.248,2.414,2.584,2.781,2.931,4.234,4.408,4.577,4.751,4.907,5.187,5.394,5.563,5.746,5.898,6.197,6.397,6.581,6.868,7.048,7.395,7.627,7.799,7.985,8.161,8.472,9.001,9.18,9.378,9.534,9.905]",0,8,8,8,1,42314,,10,1,2021-01-12_16h46.56.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""2"",""3"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.359,1.53,2.111,2.272,2.433,2.712,2.884,3.106,3.203,4.08,4.446,4.61,5.014,5.168,5.347,5.666,5.852,6.149,6.32,6.476,6.732,6.903,7.196,7.35,7.516,7.782,7.926,8.236,8.396,8.563,8.833,8.993,9.322,9.501,9.716]",0,9,9,9,1,41324,,0,1,2021-01-12_16h46.56.341,Sequence Training,2020.1.3,Win32,60
