Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.513,1.855,2.332,2.916,3.434,5.034,5.401,5.952,6.386,6.656,7.403,7.824,8.709,9.222,9.894]",0,0,0,0,1,41324,,10,1,2020-10-06_17h46.41.573,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[1.463,1.925,2.384,2.705,2.985,3.384,3.735,4.291,4.623,5.388,6.137,6.513,7.154,8.479,8.856,9.657]",0,1,1,1,1,41324,,10,1,2020-10-06_17h46.41.573,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.698,1.074,1.507,1.897,2.164,2.521,2.922,3.349,3.9,4.208,4.789,5.187,6.119,6.968,7.304,7.752,8.504,9.01,9.339,9.596]",0,2,2,2,1,41324,,10,1,2020-10-06_17h46.41.573,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.532,0.866,1.249,1.635,1.838,2.2,2.584,3.721,4.136,4.32,4.602,4.921,5.861,6.322,6.588,6.908,7.239,7.807,8.24,8.44,8.929,9.343,9.759]",0,3,3,3,1,41324,,10,1,2020-10-06_17h46.41.573,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""3"",""4"",""1"",""3"",""2"",""3"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[0.537,0.837,1.202,1.503,1.57,2.054,2.372,2.772,3.092,3.206,3.241,3.638,4.307,4.791,5.174,5.324,5.959,6.465,7.143,7.765,7.961,8.444,8.779,9.364,9.93]",0,4,4,4,1,41324,,30,1,2020-10-06_17h46.41.573,Sequence Training,2020.1.3,Win32,60
"[""4"",""3"",""3"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[0.727,1.413,1.728,1.797,2.131,2.895,3.396,3.729,3.863,4.162,4.463,4.864,5.164,5.331,5.665,5.967,6.351,6.684,6.818,7.122,7.437,7.836,8.185,8.344,8.654,9.087,9.575,9.921]",0,5,5,5,1,41324,,0,1,2020-10-06_17h46.41.573,Sequence Training,2020.1.3,Win32,60
"[""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[0.017,1.001,1.635,1.952,2.224,2.335,2.936,3.504,3.954,4.654,4.863,5.79,6.373,6.842,7.341,7.508,8.126,8.782,9.199,9.561,9.714]",0,6,6,6,1,42314,,10,1,2020-10-06_17h46.41.573,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""3"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.518,1.014,1.882,2.386,2.586,2.95,3.317,3.951,4.223,4.419,4.814,5.131,6.282,6.832,7.083,7.537,8.07,8.553,9.068,9.223,9.64,9.952]",0,7,7,7,1,41324,,0,1,2020-10-06_17h46.41.573,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2""]","[1.063,1.607,2.359,2.824,3.023,3.444,4.107,4.658,5.095,5.275,5.725,6.509,7.126,7.56,7.811,9.076,9.697]",0,8,8,8,1,42314,,10,1,2020-10-06_17h46.41.573,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[0.648,0.917,1.551,1.952,2.169,2.468,2.769,3.253,3.553,3.786,4.074,4.737,5.922,6.393,7.406,7.725,8.692,8.977,9.277,9.613]",0,9,9,9,1,41324,,0,1,2020-10-06_17h46.41.573,Sequence Training,2020.1.3,Win32,60
