Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[2.172,2.7,3.528,3.823,4.097,4.727,5.028,5.928,6.201,6.475,7.423,7.734,8.298,8.555,8.827]",0,0,0,0,1,41324,,10,1,2021-01-12_16h46.02.721,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[2.098,2.592,3.771,3.927,4.277,4.91,5.44,6.546,6.733,7.173,7.741,8.249,8.918,9.046,9.668]",0,1,1,1,1,41324,,10,1,2021-01-12_16h46.02.721,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[1.17,1.593,2.36,2.561,2.846,3.286,3.745,4.204,4.314,4.491,4.734,5.843,6.512,6.647,6.938,7.542,7.988,8.467,8.591,8.891,9.415]",0,2,2,2,1,41324,,10,1,2021-01-12_16h46.02.721,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[0.758,1.193,1.836,2.029,2.384,2.954,3.46,3.978,4.104,4.477,4.961,5.325,5.825,6.038,6.291,6.753,7.149,7.855,7.982,8.291,8.783,9.228,9.777,9.889]",0,3,3,3,1,41324,,10,1,2021-01-12_16h46.02.721,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.681,1.07,1.504,1.645,1.941,2.469,2.939,3.391,3.524,3.852,4.276,4.725,5.137,5.287,5.577,6.023,6.454,6.836,7.006,7.308,7.746,8.184,8.557,8.667,9.001,9.411,9.805]",0,4,4,4,1,41324,,30,1,2021-01-12_16h46.02.721,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[0.967,1.331,1.695,1.823,2.08,2.383,2.718,3.04,3.239,3.597,4.025,4.36,4.718,4.831,5.135,5.58,5.915,6.267,6.395,6.665,7.015,7.344,7.731,7.885,8.146,8.5,8.834,9.167,9.28,9.534,9.902]",0,5,5,5,1,41324,,0,1,2021-01-12_16h46.02.721,Sequence Training,2020.1.3,Win32,60
"[""1"",""2"",""3"",""1"",""4"",""4"",""1"",""2"",""3"",""4"",""4""]","[0.179,3.004,4.12,4.595,4.855,5.374,5.874,7.181,7.293,7.681,8.82]",0,6,6,6,1,42314,,10,1,2021-01-12_16h46.02.721,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[1.184,1.658,2.592,2.735,3.081,3.691,4.157,4.625,4.737,5.132,5.826,6.249,7.205,7.348,7.609,7.993,8.473,8.845,9.001,9.263,9.607,9.83]",0,7,7,7,1,41324,,0,1,2021-01-12_16h46.02.721,Sequence Training,2020.1.3,Win32,60
"[""3"",""2"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1""]","[0.161,0.257,1.439,2.023,2.139,2.532,2.946,3.416,4.016,4.161,4.553,5.009,5.898,6.796,6.906,7.552,7.903,8.48,9.47,9.543,9.888]",0,8,8,8,1,42314,,10,1,2021-01-12_16h46.02.721,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.842,1.763,2.6,2.766,3.137,3.584,4.064,4.523,4.647,5.284,5.935,6.777,6.894,7.183,8.4,9.11,9.567,9.617,9.911]",0,9,9,9,1,41324,,0,1,2021-01-12_16h46.02.721,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3""]","[0.961,2.553,2.674,3.052,3.364,4.198,5.053,5.177,5.588,5.901,6.738,7.279,7.379,7.719,7.934,8.831,9.355,9.45]",0,10,10,10,1,42314,,10,1,2021-01-12_16h46.02.721,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[0.916,1.427,1.938,2.022,2.355,3.184,4.005,4.438,4.546,4.835,5.391,6.05,6.447,6.523,6.843,7.339,7.826,8.181,8.243,8.55,9.009,9.319,9.763,9.899]",0,11,11,11,1,41324,,0,1,2021-01-12_16h46.02.721,Sequence Training,2020.1.3,Win32,60
"[""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""3"",""4"",""2"",""3"",""1"",""4"",""4""]","[0.087,1.454,2.165,2.548,3.026,3.386,3.979,4.281,4.584,4.9,5.212,6.819,7.507,7.858,8.14,8.477,9.026]",0,12,12,12,1,42314,,10,1,2021-01-12_16h46.02.721,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.835,1.601,2.089,2.201,2.476,2.898,3.265,3.605,3.752,4.025,4.384,4.863,5.266,5.718,6.17,6.562,6.928,7.013,7.36,7.74,8.159,8.555,8.714,9.033,9.482,9.986]",0,13,13,13,1,41324,,0,1,2021-01-12_16h46.02.721,Sequence Training,2020.1.3,Win32,60
"[""3"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[0.257,2.518,2.69,2.991,3.26,3.906,4.541,4.802,5.083,5.338,6.349,6.96,7.151,7.426,7.635,8.058,8.603,8.768,9.266,9.6]",0,14,14,14,1,42314,,10,1,2021-01-12_16h46.02.721,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[1.38,1.809,2.251,2.331,2.63,2.916,3.233,3.603,3.717,3.986,4.275,4.589,4.965,5.119,5.397,5.735,6.056,6.415,6.509,6.768,7.065,7.384,7.781,7.88,8.122,8.44,8.753,9.089,9.266,9.529,9.971]",0,15,15,15,1,41324,,10,1,2021-01-12_16h46.02.721,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""2"",""4"",""4"",""1"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.747,1.158,1.597,1.91,2.208,2.41,2.794,3.087,3.354,3.627,3.989,4.104,4.369,4.611,4.847,5.355,5.491,5.723,6.005,6.256,6.651,6.69,6.982,7.273,7.553,7.859,7.923,8.247,8.867,9.332,9.76]",0,16,16,16,1,41324,,10,1,2021-01-12_16h46.02.721,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""1"",""4"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.933,1.378,1.768,1.861,2.131,3.054,3.462,4.275,4.368,4.651,5.122,5.528,6.198,6.286,6.563,7.184,7.559,7.955,8.019,8.26,8.647,8.901,9.55,9.619,9.952]",0,17,17,17,1,41324,,10,1,2021-01-12_16h46.02.721,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""3"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[0.85,1.785,2.169,2.253,2.506,2.765,2.987,3.275,3.434,3.719,3.965,4.199,4.512,4.574,4.854,5.153,5.391,5.716,5.875,6.105,6.404,6.67,6.956,7,7.271,7.554,7.795,8.073,8.185,8.426,8.651,8.93,9.187,9.274,9.511,9.795]",0,18,18,18,1,41324,,10,1,2021-01-12_16h46.02.721,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""4"",""4"",""1"",""2"",""4"",""4"",""1"",""2"",""4"",""4"",""1"",""2"",""4"",""4"",""1"",""2"",""3"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.09,1.477,1.858,1.96,2.213,2.56,3.01,3.497,3.804,4.109,4.393,4.688,5.01,5.321,5.609,6.02,6.304,6.661,6.988,7.324,7.608,7.88,8.126,8.359,8.403,8.654,8.92,9.159,9.409,9.528,9.818]",0,19,19,19,1,41324,,10,1,2021-01-12_16h46.02.721,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.858,1.201,1.521,1.619,1.888,2.188,2.481,2.78,2.86,3.104,3.389,3.59,3.849,4.145,4.408,4.624,4.92,4.968,5.197,5.465,5.675,5.995,6.1,6.342,6.663,6.91,7.22,7.49,7.758,8.012,8.306,8.368,8.632,8.884,9.16,9.469,9.538,9.78]",0,20,20,20,1,41324,,10,1,2021-01-12_16h46.02.721,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""2"",""4"",""4"",""1"",""3"",""4"",""4""]","[0.827,1.138,1.704,1.798,2.04,2.305,2.656,3.046,3.339,3.675,3.993,4.322,4.362,4.723,5.085,5.525,5.896,5.938,6.224,6.521,6.836,7.215,7.524,7.84,8.149,8.48,9.094,9.736]",0,21,21,21,1,41324,,0,1,2021-01-12_16h46.02.721,Sequence Training,2020.1.3,Win32,60
