Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.287,1.678,2.453,2.804,3.253,4.475,5.42,6.337,6.72,7.056,7.563,8.188,8.792,9.179,9.588]",0,0,0,0,1,41324,,10,1,2020-12-29_11h32.31.509,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[1.012,1.395,1.975,2.43,2.912,3.53,3.98,4.473,4.846,5.225,5.74,6.297,6.831,7.181,7.889,8.351,8.809,9.354,9.782]",0,1,1,1,1,41324,,10,1,2020-12-29_11h32.31.509,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.758,1.062,1.426,2.36,2.992,3.433,3.867,4.267,4.767,5.108,5.494,5.909,6.317,6.604,6.944,7.358,7.835,8.252,8.619,8.969,9.347,9.736]",0,2,2,2,1,41324,,10,1,2020-12-29_11h32.31.509,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[0.551,0.867,1.217,1.5,1.95,2.334,3.18,3.568,3.843,4.119,4.634,4.918,5.269,5.536,5.819,6.306,6.635,7.136,7.463,7.748,8.103,8.427,8.97,9.229,9.653,10.003]",0,3,3,3,1,41324,,10,1,2020-12-29_11h32.31.509,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[0.692,1.014,1.388,1.672,2.228,2.547,2.833,3.166,3.446,3.743,4.121,4.365,4.709,5.004,5.305,5.638,5.883,6.264,6.555,6.827,7.139,7.373,7.745,8.026,8.388,8.717,9.043,9.492,9.808]",0,4,4,4,1,41324,,30,1,2020-12-29_11h32.31.509,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""1"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.616,0.821,1.129,1.395,1.712,2.118,2.364,2.662,2.942,3.219,3.559,3.803,4.271,4.537,4.841,5.209,6.301,6.474,7.012,7.385,8.125,8.457,8.991,9.336,9.603,9.87]",0,5,5,5,1,41324,,0,1,2020-12-29_11h32.31.509,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4""]","[1.562,2.002,2.375,2.72,3.043,3.603,3.969,4.41,4.792,5.157,5.603,5.958,6.356,6.736,7.07,7.526,7.905,8.287,8.937,9.289,9.727]",0,6,6,6,1,42314,,10,1,2020-12-29_11h32.31.509,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.388,0.68,1.01,1.348,1.687,2.204,3.066,3.871,4.189,4.501,5.111,5.756,6.189,6.523,6.814,7.24,7.59,8.149,8.436,9.034,9.491,9.807]",0,7,7,7,1,41324,,0,1,2020-12-29_11h32.31.509,Sequence Training,2020.1.3,Win32,60
"[""3"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3""]","[0.167,1.635,1.992,2.82,3.118,3.435,3.915,4.553,5.047,5.344,5.703,6.203,6.581,7.053,7.365,7.77,8.435,8.893,9.922]",0,8,8,8,1,42314,,10,1,2020-12-29_11h32.31.509,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.846,0.899,1.716,2.007,2.316,2.732,3.513,3.957,4.247,4.581,5.058,5.798,6.207,6.505,6.815,7.217,7.599,8.138,8.419,8.732,9.155,9.517,9.95]",0,9,9,9,1,41324,,0,1,2020-12-29_11h32.31.509,Sequence Training,2020.1.3,Win32,60
