Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""2"",""2"",""4"",""4""]","[0.896,1.205,1.837,2.252,2.776,3.408,3.731,4.646,5.12,5.746,6.232,6.68,7.625,8.503,8.969,9.592]",0,0,0,0,1,41324,,10,1,2020-10-12_11h16.43.673,Sequence Training,2020.1.3,MacIntel,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[1.129,1.464,2.097,3.297,3.938,4.393,4.873,5.518,5.993,6.582,7.048,7.53,8.594,9.009,9.543,10.017]",0,1,1,1,1,41324,,10,1,2020-10-12_11h16.43.673,Sequence Training,2020.1.3,MacIntel,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.78,1.296,1.768,2.193,2.676,3.042,3.473,3.943,4.344,4.754,5.187,5.823,6.434,7.248,7.963,8.335,8.783,9.696]",0,2,2,2,1,41324,,10,1,2020-10-12_11h16.43.673,Sequence Training,2020.1.3,MacIntel,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.719,1.229,1.695,2.081,2.493,2.847,3.242,3.728,4.143,4.605,4.975,5.337,5.802,6.218,6.634,7.032,7.471,7.984,8.383,8.871,9.294,9.744]",0,3,3,3,1,41324,,10,1,2020-10-12_11h16.43.673,Sequence Training,2020.1.3,MacIntel,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[0.689,1.05,1.511,1.833,2.244,2.579,3.017,3.411,3.84,4.255,4.609,4.993,5.419,5.836,6.224,6.57,6.921,7.385,7.817,8.217,8.563,8.914,9.4,9.817]",0,4,4,4,1,41324,,30,1,2020-10-12_11h16.43.673,Sequence Training,2020.1.3,MacIntel,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.718,1.079,1.479,1.782,2.126,2.502,2.894,3.294,3.69,4.11,4.504,4.894,5.358,5.79,6.233,6.617,7.118,7.67,8.047,8.462,8.861,9.293,9.75]",0,5,5,5,1,41324,,0,1,2020-10-12_11h16.43.673,Sequence Training,2020.1.3,MacIntel,60
"[""2"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""1"",""2"",""4"",""4"",""2""]","[0.123,0.955,1.532,2.36,2.946,3.358,3.89,4.389,4.838,5.227,5.585,5.939,6.675,7.116,8.112,8.435,8.813,9.41]",0,6,6,6,1,42314,,10,1,2020-10-12_11h16.43.673,Sequence Training,2020.1.3,MacIntel,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.641,1.097,1.63,2.029,2.41,2.769,3.226,3.729,4.157,4.54,4.929,5.587,6.057,6.409,6.777,7.105,7.619,8.153,8.617,9.032,9.46,9.91]",0,7,7,7,1,41324,,0,1,2020-10-12_11h16.43.673,Sequence Training,2020.1.3,MacIntel,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1""]","[0.863,1.412,1.977,2.38,2.772,3.208,3.676,4.109,4.54,4.941,5.589,6.171,6.916,7.42,7.847,8.262,8.764,9.194,9.629]",0,8,8,8,1,42314,,10,1,2020-10-12_11h16.43.673,Sequence Training,2020.1.3,MacIntel,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.599,0.972,1.356,1.73,2.068,2.42,2.778,3.164,3.596,3.964,4.341,4.796,5.244,5.612,6.006,6.452,6.853,7.599,7.999,8.372,8.766,9.162,9.645]",0,9,9,9,1,41324,,0,1,2020-10-12_11h16.43.673,Sequence Training,2020.1.3,MacIntel,60
"[""2"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[0.088,0.968,1.504,2.095,2.48,2.894,3.276,3.713,4.141,4.557,4.955,5.504,6.121,6.551,6.95,7.337,7.848,8.43,8.881,9.312,9.697]",0,10,10,10,1,42314,,10,1,2020-10-12_11h16.43.673,Sequence Training,2020.1.3,MacIntel,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[0.515,0.814,1.201,1.585,1.946,2.344,2.71,3.113,3.491,3.839,4.226,4.621,5.054,5.577,5.984,6.354,6.816,7.337,7.747,8.096,8.495,8.914,9.33,9.792]",0,11,11,11,1,41324,,0,1,2020-10-12_11h16.43.673,Sequence Training,2020.1.3,MacIntel,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2""]","[0.116,1.978,2.859,3.367,3.76,4.106,4.592,5.421,5.926,6.327,6.72,7.302,7.749,8.118,8.503,9.095,9.519]",0,12,12,12,1,42314,,10,1,2020-10-12_11h16.43.673,Sequence Training,2020.1.3,MacIntel,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""4"",""3"",""4"",""4"",""2"",""4"",""1""]","[0.587,0.864,1.332,1.851,2.244,2.592,2.958,3.541,3.909,4.273,4.743,5.605,6.202,6.491,7.349,7.733,8.28,9.609,9.845]",0,13,13,13,1,41324,,0,1,2020-10-12_11h16.43.673,Sequence Training,2020.1.3,MacIntel,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4""]","[0.732,1.198,1.713,2.195,2.729,3.097,3.575,4.074,4.506,4.921,5.257,5.653,6.176,6.717,7.116,7.672,8.247,8.812,9.232,9.627,9.993]",0,14,14,14,1,42314,,10,1,2020-10-12_11h16.43.673,Sequence Training,2020.1.3,MacIntel,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[0.605,0.913,1.33,1.749,2.143,2.527,3.062,3.581,4.11,4.525,4.889,5.356,5.806,6.302,6.708,7.069,7.572,8.333,8.766,9.178,9.564]",0,15,15,15,1,41324,,10,1,2020-10-12_11h16.43.673,Sequence Training,2020.1.3,MacIntel,60
