Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[1.038,1.315,1.602,1.81,2.052,2.62,2.87,3.299,3.494,3.754,4.118,4.37,4.662,4.849,5.056,5.349,5.544,5.815,5.983,6.184,6.442,6.822,7.249,7.417,7.6,7.886,8.094,8.517,8.711,8.865,9.201,10.02]",0,0,0,0,1,41324,,10,1,2020-12-29_13h36.57.504,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.585,0.776,0.973,1.113,1.296,1.563,1.688,1.997,2.135,2.331,2.613,2.75,3.009,3.153,3.353,3.666,3.798,4.118,4.242,4.45,4.747,4.872,5.163,6.199,6.333,6.63,6.781,7.371,7.563,7.721,8.296,8.447,8.665,8.783,8.981,9.263,9.435,9.855]",0,1,1,1,1,41324,,10,1,2020-12-29_13h36.57.504,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.444,0.578,0.81,0.949,1.127,1.382,1.516,1.799,1.934,2.128,2.416,2.543,2.817,2.983,3.193,3.515,3.645,4.141,4.316,4.511,4.849,4.966,5.334,5.484,5.688,6.011,6.125,6.415,6.551,6.749,7.085,7.169,7.609,7.751,7.907,8.203,8.299,8.615,8.801,8.937,9.249,9.351,9.632,9.819,9.975]",0,2,2,2,1,41324,,10,1,2020-12-29_13h36.57.504,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.376,0.465,0.651,0.768,0.917,1.137,1.243,1.585,1.702,1.85,2.081,2.233,2.628,2.738,2.882,3.168,3.298,3.686,3.781,3.932,4.27,4.385,4.771,4.865,4.989,5.337,5.448,5.817,5.891,6.037,6.431,6.527,7.037,7.131,7.267,7.765,8.111,8.549,8.661,8.799,9.407,9.504]",0,3,3,3,1,41324,,10,1,2020-12-29_13h36.57.504,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""1"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.315,0.415,0.598,0.722,0.901,1.143,1.239,1.451,1.598,1.793,2.015,2.145,2.395,2.555,2.754,3.119,3.211,3.693,3.853,4.015,4.325,4.419,4.699,4.811,4.971,5.315,6.324,6.758,6.849,6.992,7.299,7.406,7.826,7.915,8.042,8.399,8.477,8.815,8.915,9.032,9.733,9.819]",0,4,4,4,1,41324,,30,1,2020-12-29_13h36.57.504,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""4"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.439,0.555,0.738,0.89,1.034,1.261,1.355,1.575,1.703,1.863,2.117,2.217,2.423,2.553,2.721,2.985,3.177,3.617,3.717,3.863,4.203,4.344,4.85,5,6.254,6.716,6.86,7.128,7.206,7.366,7.644,7.75,8.283,8.378,8.558,8.905,8.995,9.307,9.402,9.533]",0,5,5,5,1,41324,,0,1,2020-12-29_13h36.57.504,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1""]","[1.154,1.358,1.459,1.6,1.783,2.52,2.638,2.786,2.916,3.1,3.794,4.136,4.296,4.388,4.561,4.908,5.194,5.354,5.512,5.668,6.158,6.378,6.504,6.65,6.802,7.467,7.842,8.133,8.319,8.559,9.217,9.517,9.729,9.866]",0,6,6,6,1,42314,,10,1,2020-12-29_13h36.57.504,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.446,0.597,0.807,0.944,1.12,1.423,1.529,2.034,2.219,2.437,2.823,2.929,3.591,3.701,3.884,4.573,4.687,5.166,5.261,5.427,5.741,5.845,6.253,6.357,6.521,6.871,6.967,7.876,8.102,8.25,8.638,8.756,9.133,9.276,9.426,9.754,9.834]",0,7,7,7,1,41324,,0,1,2020-12-29_13h36.57.504,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1""]","[0.956,1.155,1.292,1.484,1.727,2.313,2.487,2.633,2.775,2.967,3.551,3.728,3.907,4.091,4.289,4.687,4.819,5.017,5.175,5.391,5.7,5.868,6.061,6.227,6.441,6.803,7.137,7.585,7.883,8.055,8.339,8.517,8.653,8.85,9.041,9.423,9.584,9.73,9.891]",0,8,8,8,1,42314,,10,1,2020-12-29_13h36.57.504,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.434,0.641,0.827,0.969,1.133,1.357,1.495,1.875,2.021,2.171,2.454,2.643,3.062,3.212,3.385,3.658,3.817,4.069,4.203,4.4,4.813,4.957,5.405,5.563,5.767,6.067,6.25,6.719,6.861,7.051,7.333,7.488,7.8,7.925,8.105,8.341,8.488,8.9,9.035,9.217,9.55,9.675,9.967]",0,9,9,9,1,41324,,0,1,2020-12-29_13h36.57.504,Sequence Training,2020.1.3,Win32,60
