Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate,Keys_QuestionareQ1.keys,Keys_QuestionareQ1.rt,Keys_QuestionareQ2.keys,Keys_QuestionareQ2.rt,Keys_QuestionareQ3.keys,Keys_QuestionareQ3.rt
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[1.267,1.729,2.4,2.889,3.317,4.82,5.453,6.177,6.826,7.352,8.621,9.286,9.995]",0.0,0.0,0.0,0.0,1.0,41324.0,,10.0,1,2021-01-12_16h47.22.069,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[1.179,1.528,2.078,2.478,2.761,3.678,4.128,4.545,4.878,5.196,5.895,6.428,6.978,7.429,7.811,9.028,9.545]",0.0,1.0,1.0,1.0,1.0,41324.0,,10.0,1,2021-01-12_16h47.22.069,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[1.252,1.953,2.469,2.852,3.2,3.582,4.014,4.709,5.243,5.565,5.985,6.468,6.897,7.219,7.578,8.234,9.097,9.687]",0.0,2.0,2.0,2.0,1.0,41324.0,,10.0,1,2021-01-12_16h47.22.069,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.873,1.472,1.957,2.305,2.7,3.655,4.131,4.688,5.032,5.398,5.883,6.416,7.057,7.442,7.789,8.239,8.756,9.157,9.59,9.862]",0.0,3.0,3.0,3.0,1.0,41324.0,,10.0,1,2021-01-12_16h47.22.069,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.767,1.15,1.767,2.083,2.366,2.834,3.318,3.82,4.177,4.506,4.957,5.456,5.84,6.131,6.419,6.818,7.186,7.651,8.102,8.434,8.902,9.26,10.002]",0.0,4.0,4.0,4.0,1.0,41324.0,,30.0,1,2021-01-12_16h47.22.069,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[0.65,1.117,1.516,1.947,2.301,2.752,3.237,3.728,4.066,4.35,4.813,5.37,5.787,6.137,6.954,7.437,8.066,8.53,8.853]",0.0,5.0,5.0,5.0,1.0,41324.0,,0.0,1,2021-01-12_16h47.22.069,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4""]","[1.766,2.99,4.707,5.531,5.956,6.623,7.446,8,8.874,9.233,9.649]",0.0,6.0,6.0,6.0,1.0,42314.0,,10.0,1,2021-01-12_16h47.22.069,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[0.921,1.412,1.764,2.112,2.407,2.829,3.303,3.704,4.029,4.346,4.795,5.181,5.604,5.909,6.229,6.614,7.089,7.561,7.845,8.162,8.558,9.169,9.663,9.978]",0.0,7.0,7.0,7.0,1.0,41324.0,,0.0,1,2021-01-12_16h47.22.069,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4""]","[0.233,1.284,2.267,2.584,3.201,3.851,4.948,5.475,5.765,6.223,6.549,7.234,7.943,8.175,8.665,8.925,9.364]",0.0,8.0,8.0,8.0,1.0,42314.0,,10.0,1,2021-01-12_16h47.22.069,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""3"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.61,1.067,1.43,1.787,2.035,2.485,2.945,3.435,3.852,4.185,5.702,6.387,6.844,7.267,7.586,8.102,9.695]",0.0,9.0,9.0,9.0,1.0,41324.0,,0.0,1,2021-01-12_16h47.22.069,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""3"",""2"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3""]","[0.07,0.432,1.572,2.198,2.5,2.922,3.248,3.639,4.364,4.622,5.082,5.372,5.922,7.822,8.107,8.467,8.734,9.222,9.706,9.987]",0.0,10.0,10.0,10.0,1.0,42314.0,,10.0,1,2021-01-12_16h47.22.069,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""3"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.806,1.267,1.631,2.12,2.45,3.054,3.638,4.288,4.704,5.088,6.251,7.314,8.051,8.803,9.137,9.497]",0.0,11.0,11.0,11.0,1.0,41324.0,,0.0,1,2021-01-12_16h47.22.069,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2""]","[0.78,1.333,1.647,2.063,2.414,3.03,3.69,4.247,4.905,5.257,6.364,7.357,7.791,8.29,8.656,9.198,9.816]",0.0,12.0,12.0,12.0,1.0,42314.0,,10.0,1,2021-01-12_16h47.22.069,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[0.822,1.221,1.554,1.92,2.195,2.637,3.004,3.447,3.844,4.704,5.137,5.621,6.279,6.828,7.176,7.703,8.47,9.655,10.02]",0.0,13.0,13.0,13.0,1.0,41324.0,,0.0,1,2021-01-12_16h47.22.069,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3""]","[0.26,2.075,2.398,2.799,3.063,3.892,5.375,5.699,6.023,6.317,6.85,7.274,7.541,7.956,8.23,8.74,9.364,9.658]",0.0,14.0,14.0,14.0,1.0,42314.0,,10.0,1,2021-01-12_16h47.22.069,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.743,1.108,1.701,2.251,2.599,4.662,6.29,6.728,7.073,7.392,8.262,9.483,9.818]",0.0,15.0,15.0,15.0,1.0,41324.0,,10.0,1,2021-01-12_16h47.22.069,Sequence Training,2020.1.3,MacIntel,60,,,,,,
