Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate,Keys_QuestionareQ1.keys,Keys_QuestionareQ1.rt,Keys_QuestionareQ2.keys,Keys_QuestionareQ2.rt,Keys_QuestionareQ3.keys,Keys_QuestionareQ3.rt
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[0.939,1.523,1.818,2.168,2.521,2.95,3.356,3.731,4.099,4.505,4.999,5.331,5.663,6.007,6.476,6.935,7.198,7.521,7.968,8.285,8.682,9.098,9.307,9.874]",0.0,0.0,0.0,0.0,1.0,41324.0,,10.0,1,2021-01-12_18h15.58.449,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.447,0.682,1.376,1.789,2.051,2.395,2.998,3.197,3.823,4.04,4.465,4.895,5.121,5.488,5.838,6.344,6.918,7.115,7.593,7.844,8.361,8.796,9.02,9.443,9.712]",0.0,1.0,1.0,1.0,1.0,41324.0,,10.0,1,2021-01-12_18h15.58.449,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""2"",""4""]","[0.518,0.718,0.921,1.166,1.435,1.719,1.907,2.189,2.551,2.771,3.091,3.306,3.584,3.953,4.088,4.437,4.818,4.992,5.272,5.519,5.887,6.151,6.352,6.594,6.854,7.169,7.42,7.668,7.915,8.168,8.6,8.934,10.023]",0.0,2.0,2.0,2.0,1.0,41324.0,,10.0,1,2021-01-12_18h15.58.449,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.369,0.576,0.799,1.093,1.312,1.694,1.909,2.193,2.953,3.179,3.487,3.67,3.871,4.182,4.466,4.798,4.969,5.268,5.634,6.094,6.521,6.71,7.173,7.445,7.685,8.08,8.386,8.596,8.87,9.114,9.482,9.683,9.877]",0.0,3.0,3.0,3.0,1.0,41324.0,,10.0,1,2021-01-12_18h15.58.449,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.694,0.911,1.089,1.499,1.746,2.061,2.265,2.419,2.655,2.899,3.297,3.546,3.735,3.995,4.271,4.607,4.846,4.983,5.251,5.468,5.868,6.277,6.462,6.996,7.221,7.551,7.735,7.927,8.228,8.46,8.847,9.086,9.278,9.585,9.847]",0.0,4.0,4.0,4.0,1.0,41324.0,,30.0,1,2021-01-12_18h15.58.449,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""3"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[0.906,1.098,1.287,1.589,1.794,2.056,2.359,2.697,2.973,3.617,3.888,4.261,4.514,4.69,5.051,5.303,5.612,5.814,6.002,6.547,6.801,7.164,7.334,7.517,7.828,8.068,8.407,8.651,9.007,9.295,9.514,9.853]",0.0,5.0,5.0,5.0,1.0,41324.0,,0.0,1,2021-01-12_18h15.58.449,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""3"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2""]","[0.187,1.422,1.681,1.865,2.252,2.478,2.861,3.095,3.284,3.736,4.029,4.414,4.696,4.894,5.256,5.5,6.2,6.547,6.744,7.167,7.411,7.85,8.322,8.5,9.04,9.324,9.796,10.021]",0.0,6.0,6.0,6.0,1.0,42314.0,,10.0,1,2021-01-12_18h15.58.449,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.689,0.882,1.146,1.531,1.807,2.157,2.521,2.871,3.175,3.404,3.745,3.963,4.136,4.357,4.588,4.991,5.373,5.963,6.272,6.523,6.871,7.246,7.439,7.706,7.923,8.254,8.473,8.754,9.005,9.407,9.702,9.874]",0.0,7.0,7.0,7.0,1.0,41324.0,,0.0,1,2021-01-12_18h15.58.449,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""2"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4""]","[0.234,0.784,1.128,1.296,1.687,2.04,2.366,2.601,2.753,3.349,3.567,3.951,4.283,4.419,4.717,5.017,5.349,5.664,5.834,6.134,6.402,6.74,7.019,7.191,7.493,7.735,8.309,8.716,8.943,9.315,9.568,9.922]",0.0,8.0,8.0,8.0,1.0,42314.0,,10.0,1,2021-01-12_18h15.58.449,Sequence Training,2020.1.3,Win32,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.569,0.825,1.035,1.287,1.518,1.795,1.961,2.142,2.409,2.609,2.94,3.144,3.318,3.548,3.778,4.142,4.357,4.724,5.557,6.026,6.241,6.425,6.657,6.873,7.156,7.391,7.583,7.86,8.108,8.46,8.645,8.84,9.083,9.331,9.642,9.842,10.026]",0.0,9.0,9.0,9.0,1.0,41324.0,,0.0,1,2021-01-12_18h15.58.449,Sequence Training,2020.1.3,Win32,60,,,,,,
