Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.67,2.139,2.798,3.267,3.906,4.751,5.012,5.729,6.112,6.458,7.035,7.405,7.843,8.186,8.366,8.758,9.072,9.297,9.539,9.832]",0,0,0,0,1,41324,,10,1,2021-01-12_10h56.14.020,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[1.56,1.699,1.93,2.245,2.426,2.892,3.129,3.67,3.854,4.124,4.498,4.769,5.379,5.603,5.907,6.283,6.561,6.989,7.284,7.469,7.848,8.12,8.647,8.862,9.092,9.471,9.757]",0,1,1,1,1,41324,,10,1,2021-01-12_10h56.14.020,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[1.086,1.33,1.592,1.868,2.085,2.545,2.729,3.164,3.398,3.659,4.008,4.344,4.883,5.165,5.43,5.721,6.094,6.604,6.853,7.236,7.647,7.918,8.411,8.692,9.074,9.384,9.743]",0,2,2,2,1,41324,,10,1,2021-01-12_10h56.14.020,Sequence Training,2020.1.3,Win32,60
"[""4"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[1.442,2.181,2.289,2.707,3.034,3.359,3.752,4.063,4.399,4.756,5.178,5.562,5.989,6.474,7.147,7.365,7.736,8.12,8.49,8.816,9.232,9.616,9.961]",0,3,3,3,1,41324,,10,1,2021-01-12_10h56.14.020,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.529,1.802,2.451,2.659,3.016,4.522,4.807,5.069,5.378,5.665,6.001,6.241,6.645,6.932,7.212,7.504,7.777,8.126,8.38,8.654,8.892,9.18,9.503,9.735,9.99]",0,4,4,4,1,41324,,30,1,2021-01-12_10h56.14.020,Sequence Training,2020.1.3,Win32,60
"[""4"",""3"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3""]","[1.572,2.914,4.283,4.977,5.411,5.733,6.322,7.185,7.936,8.329,9.018,9.471,9.775]",0,5,5,5,1,42314,,10,1,2021-01-12_10h56.14.020,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""4"",""1"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1""]","[1.424,1.769,1.915,2.343,2.668,3.096,3.595,3.857,4.014,4.349,4.922,5.451,5.689,6.138,6.438,7.064,7.355,7.604,7.952,8.205,8.795,9.393,9.52,9.86]",0,6,6,6,1,42314,,10,1,2021-01-12_10h56.14.020,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[1.349,1.661,2.057,3.016,3.168,3.661,3.935,4.125,4.403,4.666,5.077,5.433,5.648,5.939,6.108,6.481,6.895,7.055,7.336,7.54,8.574,8.803,9.021,9.467,9.575]",0,7,7,7,1,42314,,10,1,2021-01-12_10h56.14.020,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4""]","[1.628,1.944,2.209,2.684,2.838,3.175,3.539,3.779,4.038,4.275,4.593,4.891,5.199,5.427,5.619,5.874,6.183,6.418,6.68,6.973,7.226,7.514,7.789,8.098,8.313,8.57,8.865,9.098,9.368,9.597,9.878]",0,8,8,8,1,42314,,10,1,2021-01-12_10h56.14.020,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4""]","[1.029,1.272,1.492,1.729,2.074,2.215,2.421,2.653,2.935,3.112,3.373,3.638,3.876,4.133,4.316,4.578,4.802,4.997,5.27,5.457,5.897,6.14,6.367,6.59,7.612,7.866,8.122,8.296,8.523,8.8,9.055,9.268,9.492,9.706,9.952]",0,9,9,9,1,42314,,10,1,2021-01-12_10h56.14.020,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[1.178,2.46,3.478,3.729,4.259,4.653,4.885,5.202,5.401,5.662,5.89,6.142,6.563,6.726,6.995,7.195,7.462,8.015,8.187,8.45,8.692,9.047,9.715,9.958]",0,10,10,10,1,41324,,10,1,2021-01-12_10h56.14.020,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[1.208,1.487,1.701,1.878,2.313,2.609,2.871,3.198,3.391,3.617,3.914,4.057,4.432,4.571,4.897,5.067,5.235,5.596,5.812,6.028,6.214,6.445,6.941,7.178,7.413,7.586,7.877,8.167,8.401,8.606,8.788,9.025,9.335,9.575,9.815,10.005]",0,11,11,11,1,41324,,10,1,2021-01-12_10h56.14.020,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.015,1.079,1.35,1.595,1.829,2.071,2.29,2.533,2.807,3.002,3.223,3.573,3.715,3.942,4.167,4.361,4.596,4.847,5.077,5.262,5.473,5.761,6.092,6.253,6.479,6.69,6.995,7.212,7.389,7.656,8.149,8.484,8.6,8.888,9.017,9.231,9.582,9.814,10.024]",0,12,12,12,1,41324,,10,1,2021-01-12_10h56.14.020,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[1.393,1.516,1.865,2.065,2.297,2.63,2.735,3.087,3.201,3.433,3.688,3.901,4.15,4.395,4.612,4.8,5.037,5.31,6.311,6.713,6.847,7.121,7.466,7.609,7.897,8.102,8.333,8.634,8.93,9.112,9.412,9.497,9.752,10.013]",0,13,13,13,1,41324,,10,1,2021-01-12_10h56.14.020,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""2"",""3"",""2"",""4"",""4"",""1"",""2"",""3"",""4"",""4"",""2"",""4"",""1""]","[1.693,1.99,2.275,2.473,2.741,2.912,3.173,3.363,3.529,3.773,3.934,4.146,4.506,5.131,5.307,5.517,5.86,6.244,6.496,7.065,7.385,7.564,8.416,9.528,9.814]",0,14,14,14,1,41324,,10,1,2021-01-12_10h56.14.020,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[1.228,1.44,1.728,1.901,2.197,2.47,2.784,3.01,3.328,3.457,3.617,3.899,4.204,4.39,4.604,4.824,5.046,5.516,5.769,5.936,6.137,6.364,6.758,6.999,7.183,7.371,7.607,8.021,8.259,8.429,8.598,8.859,9.154,9.451,9.683,9.871]",0,15,15,15,1,41324,,10,1,2021-01-12_10h56.14.020,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[1.44,1.715,2.006,2.145,2.385,2.591,2.89,3.101,3.338,3.522,3.766,3.95,4.259,4.522,4.753,4.989,5.181,5.508,5.801,5.938,6.139,6.424,6.714,7.029,7.189,7.397,7.624,8.078,8.23,8.55,8.679,8.931,9.207,9.422,9.793,9.928]",0,16,16,16,1,41324,,0,1,2021-01-12_10h56.14.020,Sequence Training,2020.1.3,Win32,60
