Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate,Keys_QuestionareQ1.keys,Keys_QuestionareQ1.rt,Keys_QuestionareQ2.keys,Keys_QuestionareQ2.rt,Keys_QuestionareQ3.keys,Keys_QuestionareQ3.rt
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""2"",""3"",""2"",""4"",""4"",""1""]","[1.002,1.323,2.716,3.651,4.066,4.966,5.208,5.817,6.033,6.277,6.751,6.934,7.471,8.62,8.955,9.276,9.744,9.955]",0.0,0.0,0.0,0.0,1.0,41324.0,,10.0,1,2021-01-12_14h59.50.342,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""3"",""4"",""1"",""3"",""2"",""4""]","[0.92,1.104,1.621,1.949,2.242,3.038,3.254,3.859,4.071,4.35,5.02,5.288,6.075,6.405,6.64,7.85,8.383,8.858,9.44,9.697]",0.0,1.0,1.0,1.0,1.0,41324.0,,10.0,1,2021-01-12_14h59.50.342,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.667,0.875,1.391,1.775,1.975,2.403,2.645,3.462,3.715,3.924,4.791,4.975,5.495,5.709,5.926,6.594,6.829,7.251,7.509,7.754,8.223,8.723,9.162,9.343,9.576]",0.0,2.0,2.0,2.0,1.0,41324.0,,10.0,1,2021-01-12_14h59.50.342,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.739,0.909,1.523,1.687,1.876,2.36,2.522,2.791,3.12,3.373,3.788,3.973,4.459,4.771,4.97,5.491,5.67,6.155,6.359,6.626,7.143,7.356,7.855,8.004,8.222,8.683,8.879,9.304,9.472,9.704]",0.0,3.0,3.0,3.0,1.0,41324.0,,10.0,1,2021-01-12_14h59.50.342,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[0.784,0.86,1.163,1.325,1.497,1.777,1.914,2.255,2.411,2.593,3.048,3.231,3.714,3.945,4.129,4.578,4.759,5.081,5.297,5.531,5.96,6.128,6.446,6.629,6.824,7.492,7.658,7.941,8.124,8.331,8.722,8.907,9.197,9.426,9.615,9.96]",0.0,4.0,4.0,4.0,1.0,41324.0,,30.0,1,2021-01-12_14h59.50.342,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""1"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""3""]","[0.595,0.793,1.773,1.923,2.49,2.698,3.362,3.707,3.911,4.262,4.455,5.094,5.579,5.723,6.034,6.202,6.878,7.225,7.359,7.758,7.973,8.515,8.945,9.059,9.442,9.594]",0.0,5.0,5.0,5.0,1.0,42314.0,,10.0,1,2021-01-12_14h59.50.342,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[0.634,0.87,1.024,1.273,1.489,1.808,2.424,2.652,2.837,3.041,3.64,3.958,4.124,4.4,4.573,5.463,5.841,6.008,6.261,6.378,7.05,7.406,7.572,7.827,7.941,8.404,9.427,9.56,9.792,9.932]",0.0,6.0,6.0,6.0,1.0,42314.0,,10.0,1,2021-01-12_14h59.50.342,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""1"",""4""]","[3.575,3.941,4.078,4.242,4.435,4.706,5.073,5.224,5.441,5.577,5.957,6.328,6.473,6.723,6.882,7.287,7.669,7.787,8.078,8.281,8.724,9.107,9.473,9.565]",0.0,7.0,7.0,7.0,1.0,42314.0,,10.0,1,2021-01-12_14h59.50.342,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4""]","[0.538,0.893,1.006,1.219,1.366,1.703,2.007,2.089,2.356,2.52,2.837,3.242,3.443,4.148,4.336,4.739,5.21,5.289,5.604,5.739,6.245,6.626,6.74,7.216,7.392,7.94,8.293,8.372,8.733,8.859,9.409]",0.0,8.0,8.0,8.0,1.0,42314.0,,10.0,1,2021-01-12_14h59.50.342,Sequence Training,2020.1.3,MacIntel,60,,,,,,
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[0.753,0.956,1.094,1.27,1.404,1.77,2.075,2.19,2.443,2.557,2.956,3.305,3.395,3.693,3.807,4.305,4.675,4.79,5.043,5.156,5.62,6.092,6.177,6.734,6.923,7.315,7.674,7.79,8.149,8.294,8.838,9.274,9.422,9.751,9.876]",0.0,9.0,9.0,9.0,1.0,42314.0,,10.0,1,2021-01-12_14h59.50.342,Sequence Training,2020.1.3,MacIntel,60,,,,,,
