Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.241,1.673,2.085,2.411,2.891,4.312,4.716,5.189,5.525,6.033,7.689,8.058,8.695,9.056,9.389]",0,0,0,0,1,41324,,10,1,2020-10-06_11h02.35.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""2"",""3"",""2"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.036,1.432,1.892,4.591,4.62,5.966,6.414,6.818,7.216,7.576,8.151,8.52,9.151,9.553,9.882]",0,1,1,1,1,41324,,10,1,2020-10-06_11h02.35.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""2"",""3""]","[0.866,1.492,2.525,2.872,3.209,3.777,4.516,4.907,5.299,6.294,7.127,8.299,8.924,9.349]",0,2,2,2,1,41324,,10,1,2020-10-06_11h02.35.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[0.618,1.127,1.87,2.36,2.91,3.632,4.023,4.46,5.349,5.741,6.892,8.044,9.009,9.49]",0,3,3,3,1,41324,,10,1,2020-10-06_11h02.35.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[1.183,1.766,3.487,3.9,4.342,4.749,5.167,6.287,6.633,7.002,7.226,7.745,8.108,8.325,8.628,9.067,9.405,9.766]",0,4,4,4,1,41324,,30,1,2020-10-06_11h02.35.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""2"",""2""]","[2.243,2.637,2.999,3.426,4.257,5.472,6.005,6.371,6.778,7.26,8.149,8.575,9.169,9.394]",0,5,5,5,1,42314,,10,1,2020-10-06_11h02.35.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[1.34,1.666,1.957,2.501,2.916,3.849,4.216,4.627,5.008,5.425,6.242,6.615,6.938,7.261,7.649,8.132,8.571,8.849,9.139,9.439]",0,6,6,6,1,42314,,10,1,2020-10-06_11h02.35.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[1.856,2.277,2.542,2.809,3.153,3.607,3.945,4.171,4.536,4.832,5.215,5.559,5.801,6.041,6.316,6.682,6.965,7.237,7.49,7.789,8.882,9.135,9.334,9.558,9.809]",0,7,7,7,1,42314,,10,1,2020-10-06_11h02.35.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3""]","[1.87,2.306,2.549,2.783,3.067,3.516,3.872,4.099,4.361,4.638,5.061,5.327,5.669,5.918,6.192,6.683,6.924,7.159,7.395,7.683,8.101,8.411,8.675,8.919,9.166,9.562,9.804,10.022]",0,8,8,8,1,42314,,10,1,2020-10-06_11h02.35.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""2"",""4"",""4"",""2"",""1"",""3"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3""]","[1.91,2.349,2.587,2.845,4.499,5.292,5.733,5.983,6.26,6.517,6.869,7.625,7.954,8.248,8.567,9.152,9.548,9.908]",0,9,9,9,1,42314,,10,1,2020-10-06_11h02.35.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[1.466,2.083,2.673,2.936,3.233,3.889,4.536,5.083,5.361,5.661,6.25,6.927,7.417,7.662,7.966,8.509,9.057,9.545,9.788]",0,10,10,10,1,41324,,10,1,2020-10-06_11h02.35.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[1.353,1.906,2.471,2.708,2.991,3.611,4.216,4.751,4.973,5.249,5.741,6.286,6.809,7.035,7.299,7.839,8.392,8.866,9.099,9.4,10.011]",0,11,11,11,1,41324,,10,1,2020-10-06_11h02.35.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.448,1.947,2.459,2.683,3.234,3.576,4.031,4.361,4.549,4.975,5.244,5.54,5.793,5.974,6.164,6.516,7.022,7.304,7.497,7.689,8.037,8.36,8.865,9.069,9.376]",0,12,12,12,1,41324,,10,1,2020-10-06_11h02.35.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.566,2.027,2.366,2.575,2.817,3.073,3.373,3.666,3.866,4.091,4.354,4.641,4.918,5.116,5.311,5.573,5.837,6.107,6.311,6.532,6.75,7.016,7.249,7.442,7.669]",0,13,13,13,1,41324,,10,1,2020-10-06_11h02.35.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.323,1.729,2.017,2.222,2.438,2.651,2.986,3.3,3.485,3.716,3.92,4.245,4.59,4.787,5.021,5.238,5.533,5.839,6.033,6.25,6.432,6.699,7.027,7.221,7.444,7.633,7.903,8.269,8.45,8.652]",0,14,14,14,1,41324,,10,1,2020-10-06_11h02.35.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.293,1.661,1.95,2.133,2.368,2.593,2.893,3.124,3.307,3.507,3.71,4.004,4.469,4.675,4.883,5.079,5.35,5.717,5.903,6.107,6.321,6.608,6.877,7.078,7.325,7.608,7.873,8.317,8.544,8.766]",0,15,15,15,1,41324,,10,1,2020-10-06_11h02.35.341,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[2.362,2.8,3.072,4.501,5.421,5.876,6.254,6.636,6.854,7.119,7.488,7.9,8.206,8.411,8.64,8.943,9.505]",0,16,16,16,1,41324,,0,1,2020-10-06_11h02.35.341,Sequence Training,2020.1.3,Win32,60
