Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate
"[""4"",""1"",""3"",""2"",""4"",""1"",""3"",""2"",""4"",""1"",""3"",""2"",""4"",""1"",""3"",""2"",""4"",""1"",""3"",""2"",""4"",""1"",""3""]","[0.955,1.232,1.878,2.181,2.612,2.962,3.484,3.755,4.03,4.331,5.099,5.367,5.681,5.932,6.259,6.542,6.862,7.682,8.282,8.562,9.157,9.532,10.018]",0,0,0,0,1,41324,,10,1,2020-10-06_13h50.28.888,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""1"",""3"",""2"",""4"",""1"",""3"",""2"",""4"",""1"",""3"",""2"",""4"",""1"",""3"",""2"",""4"",""1""]","[0.973,1.19,2.793,3.096,3.431,3.688,4.047,4.238,4.672,5.149,5.518,5.779,6.056,6.377,6.708,7.06,7.363,7.654,7.973,8.222,8.488,8.972]",0,1,1,1,1,41324,,10,1,2020-10-06_13h50.28.888,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[0.735,1.91,2.302,3.773,4.982,5.334,6.335,7.194,7.441,7.671,7.916,8.169,9.135,9.407,9.661,9.933]",0,2,2,2,1,41324,,10,1,2020-10-06_13h50.28.888,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""4"",""1""]","[0.84,1.154,1.58,1.841,2.111,2.434,2.761,3.3,3.534,4.7,5.046,5.61,6.011,6.228,6.475,6.672,6.999,7.575,7.832,8.13,8.343,9.131,9.531]",0,3,3,3,1,41324,,10,1,2020-10-06_13h50.28.888,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[0.644,0.928,1.22,1.491,1.743,1.965,2.25,2.589,2.87,3.121,3.337,3.605,4.153,4.404,4.654,4.87,5.121,5.721,5.936,6.203,6.387,6.653,7.121,7.354,7.587,7.77,8.02,8.42,8.615,8.853,9.029,9.291,9.645,9.845]",0,4,4,4,1,41324,,30,1,2020-10-06_13h50.28.888,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""2"",""4"",""4"",""2"",""3"",""1"",""4""]","[2.003,2.29,2.545,2.872,3.24,3.534,3.849,4.104,4.456,4.869,5.121,5.501,5.817,6.127,6.407,6.616,6.966,7.232,7.575,8.001,8.232,8.685,8.945,9.571,9.872]",0,5,5,5,1,42314,,10,1,2020-10-06_13h50.28.888,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1""]","[0.812,1.078,1.31,1.648,2.084,2.356,2.613,3.095,3.543,3.864,4.15,4.365,4.633,4.954,5.271,5.509,5.694,5.97,6.263,6.575,6.889,7.044,7.419,7.72,8.204,8.542,8.76,9.047,9.386,9.757]",0,6,6,6,1,42314,,10,1,2020-10-06_13h50.28.888,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""2"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""2"",""1"",""4"",""4"",""2"",""3""]","[0.593,0.844,1.074,1.352,1.638,1.838,2.132,2.405,2.71,3.02,3.204,3.544,3.72,4.023,4.287,4.452,4.724,4.967,5.195,5.928,6.108,6.57,6.829,7.066,7.359,7.558,7.852,8.136,8.379,8.91,9.255,9.436,9.77,10.016]",0,7,7,7,1,42314,,10,1,2020-10-06_13h50.28.888,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4""]","[1.356,1.657,1.861,2.13,2.411,2.573,2.805,3.057,3.303,3.644,3.808,4.045,4.285,4.525,4.858,5.02,5.266,5.483,5.729,6.087,6.231,6.508,6.775,7.009,7.328,7.47,7.689,7.937,8.172,8.48,8.628,8.901,9.169,9.362,9.696,9.842]",0,8,8,8,1,42314,,10,1,2020-10-06_13h50.28.888,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4""]","[0.47,0.687,0.901,1.132,1.41,1.576,1.817,2.034,2.244,2.494,2.668,2.929,3.153,3.378,3.702,3.86,4.117,4.317,4.551,4.888,5.051,5.367,5.591,5.836,6.119,6.319,6.622,6.839,7.1,7.351,7.519,7.756,8.005,8.249,8.517,8.652,8.926,9.127,9.344,9.611,9.74]",0,9,9,9,1,42314,,10,1,2020-10-06_13h50.28.888,Sequence Training,2020.1.3,Win32,60
