Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate
"[""4"",""1"",""2"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.389,1.65,2.117,4.031,4.316,5.323,5.761,6.646,7.115,7.346,8.136,8.41,9.236,9.73,9.991]",0,0,0,0,1,41324,,10,1,2020-12-31_10h57.45.306,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[1.392,1.744,2.283,2.683,2.904,3.276,3.525,3.859,4.185,4.425,4.914,5.15,5.534,6.306,6.559,7.082,7.318,7.909,8.334,8.586,8.96,9.209,9.819]",0,1,1,1,1,41324,,10,1,2020-12-31_10h57.45.306,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""3"",""2"",""3"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.459,0.738,1.104,1.264,1.37,1.631,2.004,2.293,3.328,3.962,4.218,4.923,5.198,6.043,6.332,6.69,7.041,7.256,7.902,8.39,8.618,9.093,9.266]",0,2,2,2,1,41324,,10,1,2020-12-31_10h57.45.306,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.534,0.793,1.194,1.477,1.71,2.023,2.257,2.723,2.969,3.202,3.498,3.684,4.259,4.511,4.743,5.021,5.219,5.565,5.843,6.052,6.354,6.552,6.938,7.186,7.414,7.724,7.904,8.236,8.503,8.716,9.011,9.183,9.554,9.808,10.014]",0,3,3,3,1,41324,,10,1,2020-12-31_10h57.45.306,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.496,0.683,0.912,1.128,1.323,1.538,1.713,2.043,2.28,2.498,2.734,2.934,3.306,3.538,3.756,4.062,4.223,4.604,4.809,5.039,5.353,5.548,5.903,6.126,6.388,6.852,7,7.352,7.702,7.906,8.286,8.477,8.79,9.005,9.161,9.387,9.636,9.963]",0,4,4,4,1,41324,,30,1,2020-12-31_10h57.45.306,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""1"",""4"",""4"",""3"",""2"",""1"",""4"",""4"",""3"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[0.542,0.719,2.678,3.197,3.561,3.828,4.268,4.671,4.942,5.37,5.664,5.988,6.22,7.359,7.839,8.326,8.888,9.189,9.43,9.79,10.022]",0,5,5,5,1,42314,,10,1,2020-12-31_10h57.45.306,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""4"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[0.408,0.658,0.905,1.108,1.348,1.651,1.854,2.084,2.501,2.74,3.276,3.503,3.746,4.102,4.343,4.619,5.592,6.299,6.531,6.934,8.128,8.569,9.027,9.427,9.626]",0,6,6,6,1,42314,,10,1,2020-12-31_10h57.45.306,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[0.442,0.711,0.909,1.125,1.345,1.617,1.818,2.027,2.358,2.6,2.896,3.143,3.409,3.866,4.553,5.005,5.22,5.444,5.726,5.998,6.295,6.518,6.701,7.018,7.285,7.619,7.839,8.084,8.428,8.655,9.011,9.202,9.409,9.649,9.848]",0,7,7,7,1,42314,,10,1,2020-12-31_10h57.45.306,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2""]","[0.442,0.701,0.89,1.093,1.268,1.506,1.699,1.896,2.157,2.406,2.651,2.84,3.026,3.293,3.502,3.735,4.153,4.369,4.735,4.964,5.381,6.063,6.358,6.574,6.84,7.078,7.272,7.528,7.732,8.136,8.35,8.953,9.266,9.472,9.764,9.946]",0,8,8,8,1,42314,,10,1,2020-12-31_10h57.45.306,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""4"",""1"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[0.32,0.521,0.664,0.903,1.064,1.372,1.452,1.626,1.867,2.046,2.476,2.614,2.752,3.03,3.264,3.592,3.836,4.372,4.628,4.843,5.156,5.298,5.46,5.748,5.954,6.256,6.424,6.582,6.712,6.888,7.354,7.646,8.278,8.626,8.806,9.094,9.277,9.443,9.712,9.898]",0,9,9,9,1,42314,,10,1,2020-12-31_10h57.45.306,Sequence Training,2020.1.3,Win32,60
