Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate
"[""4"",""1"",""2"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[1.459,1.692,1.946,3.307,3.892,5.244,5.562,6.318,7.117,7.701,8.288,8.633,9.27,9.634]",0,0,0,0,1,41324,,10,1,2020-10-06_13h53.26.298,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[1.023,1.422,1.921,2.399,2.92,3.52,4.044,4.61,6.153,7.493,8.276,8.74,9.349]",0,1,1,1,1,41324,,10,1,2020-10-06_13h53.26.298,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[0.973,1.254,1.853,3.077,3.485,4.005,4.64,7.281,7.881,8.368,8.864]",0,2,2,2,1,41324,,10,1,2020-10-06_13h53.26.298,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[0.838,1.304,1.628,2.223,2.471,2.945,3.385,4.574,5.054,5.283,5.848,6.341,6.653,7.074,7.298,7.72,8.139,9.518,9.928]",0,3,3,3,1,41324,,10,1,2020-10-06_13h53.26.298,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.809,1.228,1.505,1.889,2.157,2.663,3.123,3.586,3.901,4.153,4.659,5.053,6.269,6.567,6.816,7.284,7.765,8.231,8.621,8.838,9.213,9.598,9.871]",0,4,4,4,1,41324,,30,1,2020-10-06_13h53.26.298,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2""]","[0.806,2.559,3.204,3.588,4.193,4.895,6.536,7.598,7.988,8.413,9.029,9.572]",0,5,5,5,1,42314,,10,1,2020-10-06_13h53.26.298,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4""]","[0.926,1.505,1.938,2.343,2.691,3.32,4.336,4.801,5.368,5.734,6.25,7.865,8.369,9.136,9.481,10.016]",0,6,6,6,1,42314,,10,1,2020-10-06_13h53.26.298,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4""]","[0.917,1.433,1.982,2.4,2.766,3.139,3.748,4.346,4.598,4.87,5.247,6.978,7.645,8.215,8.544,8.96]",0,7,7,7,1,42314,,10,1,2020-10-06_13h53.26.298,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1""]","[0.887,1.263,1.662,1.954,2.196,2.546,2.951,3.263,3.647,3.91,4.304,4.693,5.007,5.3,5.578,5.908,6.59,7.117,7.539,7.834,8.306,8.839,9.479,9.822]",0,8,8,8,1,42314,,10,1,2020-10-06_13h53.26.298,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1""]","[0.814,1.205,1.557,1.811,2.078,2.92,3.396,4.352,4.72,4.991,5.434,5.851,6.639,7,7.766,8.315,8.839,9.405,9.863]",0,9,9,9,1,42314,,10,1,2020-10-06_13h53.26.298,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.663,1.081,1.528,2.146,3.014,4.176,4.791,5.125,5.465,6.283,6.844,7.233,7.706,8.04,8.579,9.088,9.462,9.904]",0,10,10,10,1,41324,,10,1,2020-10-06_13h53.26.298,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.774,1.088,1.404,1.721,1.971,3.171,3.646,3.975,4.243,4.661,5.01,5.665,5.973,6.236,6.732,7.09,9.747]",0,11,11,11,1,41324,,10,1,2020-10-06_13h53.26.298,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.733,1.177,1.509,1.91,2.375,3.008,3.51,3.875,4.207,4.531,5.024,5.393,5.883,6.339,6.673,7.109,7.422,7.971,8.574,8.881,9.387,9.803]",0,12,12,12,1,41324,,10,1,2020-10-06_13h53.26.298,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.83,1.097,1.384,1.797,2.378,2.954,3.336,3.734,4.132,4.575,4.959,5.408,5.891,6.441,6.707,7.123,7.423,7.806,8.139,8.389,9.022,9.338,9.988]",0,13,13,13,1,41324,,10,1,2020-10-06_13h53.26.298,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.63,0.904,1.206,1.57,1.792,2.196,2.52,2.903,3.278,3.537,3.973,4.294,4.975,5.333,5.542,5.901,6.184,6.766,7.067,7.4,7.793,8.087,8.607,8.951,9.264,9.684,9.983]",0,14,14,14,1,41324,,10,1,2020-10-06_13h53.26.298,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.721,0.96,1.274,1.557,1.785,2.202,2.531,3.138,3.614,3.88,4.264,4.566,4.89,5.229,5.471,5.914,6.211,6.811,7.2,7.477,7.867,8.134,8.493,8.809,9.028,9.359,9.592,9.909]",0,15,15,15,1,41324,,10,1,2020-10-06_13h53.26.298,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.635,0.848,1.118,1.383,1.634,1.998,2.235,2.558,2.836,3.081,3.418,3.686,3.98,4.302,4.524,4.858,5.1,5.401,5.739,5.962,6.321,6.61,6.861,7.195,7.405,7.761,8.017,8.336,8.668,8.876,9.235,9.512,9.809]",0,16,16,16,1,41324,,0,1,2020-10-06_13h53.26.298,Sequence Training,2020.1.3,Win32,60
