Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate
"[""4"",""1"",""3"",""2"",""4"",""4"",""3"",""2"",""4"",""4""]","[1.496,2.464,3.016,4.104,4.447,5.808,7.384,7.824,8.482,9.944]",0,0,0,0,1,41324,,10,1,2020-10-09_13h43.22.664,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""1"",""4"",""3"",""2"",""3""]","[1.669,2.087,2.569,3.119,3.704,4.661,5.107,5.507,5.966,6.398,7.357,7.942,8.543,9.009,9.344]",0,1,1,1,1,41324,,10,1,2020-10-09_13h43.22.664,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[1.359,1.942,2.302,2.837,3.41,4.222,4.686,5.062,5.463,5.789,6.429,6.837,7.195,7.549,7.897,8.613,9.047,9.415,9.782]",0,2,2,2,1,41324,,10,1,2020-10-09_13h43.22.664,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.827,1.291,2.01,2.354,2.703,3.603,3.939,4.355,4.715,5.035,5.866,6.235,6.603,6.975,7.357,8.371,8.762,9.142,9.491,9.802]",0,3,3,3,1,41324,,10,1,2020-10-09_13h43.22.664,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.046,1.414,1.73,2.027,2.327,3.363,3.713,4.097,4.434,4.746,5.447,5.814,6.148,6.481,6.798,7.934,8.477,9.247,9.651,9.958]",0,4,4,4,1,41324,,30,1,2020-10-09_13h43.22.664,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[1.854,2.645,3.069,3.454,3.797,4.504,4.854,5.108,5.445,5.721,6.407,6.765,6.99,7.323,7.661,8.381,8.733,9.133,9.55,9.842]",0,5,5,5,1,42314,,10,1,2020-10-09_13h43.22.664,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""1"",""2"",""3"",""4"",""4""]","[0.967,1.302,1.518,1.785,2.024,2.619,2.96,3.187,3.504,3.705,4.321,4.705,4.928,5.305,5.505,6.049,6.467,6.674,6.992,7.216,7.721,8.121,8.775,8.983,9.304,9.926]",0,6,6,6,1,42314,,10,1,2020-10-09_13h43.22.664,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[0.977,1.343,1.493,1.778,2.001,2.481,2.859,2.994,3.306,3.545,4.065,4.474,4.645,4.946,5.175,5.706,6.417,6.569,6.898,7.137,7.865,8.35,8.531,8.809,9.033]",0,7,7,7,1,42314,,10,1,2020-10-09_13h43.22.664,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1""]","[0.952,1.334,1.435,1.752,1.971,2.485,2.817,2.934,3.228,3.428,3.919,4.316,4.437,4.724,4.931,5.411,5.871,5.995,6.275,6.46,7.075,7.856,7.954,8.251,8.467,9.102,9.459,9.584,9.892]",0,8,8,8,1,42314,,10,1,2020-10-09_13h43.22.664,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[1.06,1.395,1.466,1.747,1.931,2.411,2.822,2.922,3.207,3.391,3.957,4.291,4.379,4.66,4.851,5.363,5.794,5.958,6.298,6.509,7.11,7.46,7.56,7.851,8.034,8.603,9.045,9.131,9.395,9.571]",0,9,9,9,1,42314,,10,1,2020-10-09_13h43.22.664,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[1.011,2.027,2.859,3.083,3.353,4.17,4.626,5.45,5.69,6.006,6.623,7.171,8.098,8.459,8.682,9.577]",0,10,10,10,1,41324,,10,1,2020-10-09_13h43.22.664,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""3"",""4""]","[1.117,1.467,1.659,2.004,2.173,2.927,3.293,3.476,3.796,3.98,4.572,4.956,5.18,5.524,5.746,6.252,6.782,6.972,7.324,7.508,8.1,8.533,8.772,9.15,9.316,9.85]",0,11,11,11,1,41324,,10,1,2020-10-09_13h43.22.664,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[1.35,1.743,1.87,2.198,2.318,2.853,3.229,3.392,3.709,3.837,4.376,4.765,4.943,5.805,5.989,6.685,7.497,7.733,8.117,8.23,8.941,9.503,9.781]",0,12,12,12,1,41324,,10,1,2020-10-09_13h43.22.664,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[1.047,1.388,1.516,1.852,1.963,2.499,2.893,3.046,3.388,3.493,4.08,4.708,4.868,5.244,5.365,5.956,6.352,6.596,7.085,7.219,7.844,8.339,8.612,9.011,9.168,9.772]",0,13,13,13,1,41324,,10,1,2020-10-09_13h43.22.664,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.09,1.45,1.602,1.957,2.075,2.759,3.131,3.883,4.244,4.38,5.062,5.446,5.619,6.013,6.095,6.722,7.13,7.315,7.679,7.771,8.381,8.843,9.003,9.383,9.515]",0,14,14,14,1,41324,,10,1,2020-10-09_13h43.22.664,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4""]","[1.1,1.475,1.579,1.916,2.044,2.741,3.142,3.374,3.711,3.811,4.361,4.732,4.932,5.404,5.573,6.126,6.512,6.694,6.994,7.116,7.662,8.095,8.236,8.54,8.668,9.284]",0,15,15,15,1,41324,,10,1,2020-10-09_13h43.22.664,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.993,1.441,1.641,1.967,2.095,2.647,2.983,3.119,3.448,3.544,4.177,4.527,4.659,5.04,5.167,5.751,6.129,6.278,6.63,6.76,7.359,7.73,7.913,8.25,8.382,8.951,9.319,9.548,9.865,9.975]",0,16,16,16,1,41324,,0,1,2020-10-09_13h43.22.664,Sequence Training,2020.1.3,Win32,60
