Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.979,1.282,1.633,1.949,2.183,2.577,2.95,3.528,3.815,4,4.331,4.665,5.079,5.417,5.595,5.923,6.414,6.762,7.096,7.279,7.631,7.982,8.414,8.864,9.034,9.634,9.963]",0,0,0,0,1,41324,,10,1,2021-01-11_15h41.28.553,Sequence Training,2020.1.3,MacIntel,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[1.281,1.521,3.145,3.688,3.963,4.426,4.854,5.307,5.621,5.754,6.092,6.388,6.692,7.005,7.132,7.456,7.777,8.055,8.473,8.621,9.253,9.543,9.962]",0,1,1,1,1,41324,,10,1,2021-01-11_15h41.28.553,Sequence Training,2020.1.3,MacIntel,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[0.714,0.878,1.226,1.574,1.754,2.093,2.408,2.804,3.229,3.478,3.814,4.114,4.488,4.827,5.039,5.454,5.75,6.174,6.558,6.732,7.107,7.373,7.763,8.123,8.291,8.824,9.157,9.717]",0,2,2,2,1,41324,,10,1,2021-01-11_15h41.28.553,Sequence Training,2020.1.3,MacIntel,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.849,1.043,1.377,1.658,1.826,2.13,2.38,2.733,3.081,3.231,3.608,3.882,4.297,4.659,4.811,5.249,5.508,5.916,6.281,6.48,6.835,7.147,7.583,8.027,8.215,8.675,8.908,9.261,9.545,9.745]",0,3,3,3,1,41324,,10,1,2021-01-11_15h41.28.553,Sequence Training,2020.1.3,MacIntel,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[1.068,1.295,1.598,2.143,2.299,2.603,2.847,3.261,3.61,3.754,4.095,4.376,4.795,5.122,5.243,5.578,5.884,6.301,6.687,6.861,7.262,7.544,7.961,8.347,8.547,8.929,9.194,9.61,9.967]",0,4,4,4,1,41324,,30,1,2021-01-11_15h41.28.553,Sequence Training,2020.1.3,MacIntel,60
"[""4"",""2"",""4"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4""]","[0.984,1.278,1.528,2.411,2.6,2.915,3.243,3.71,4.063,4.393,4.765,5.145,5.627,5.965,6.18,6.511,7.015,7.295,7.677,7.878,8.296,8.744,9.003,9.279,9.461,9.844]",0,5,5,5,1,42314,,10,1,2021-01-11_15h41.28.553,Sequence Training,2020.1.3,MacIntel,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[1.066,1.379,1.617,2.052,2.266,2.632,2.954,3.332,3.648,3.827,4.18,4.482,4.873,5.182,5.346,5.763,6.079,6.358,6.814,6.985,7.364,7.668,7.966,8.37,8.545,8.902,9.218,9.511,9.782,9.951]",0,6,6,6,1,42314,,10,1,2021-01-11_15h41.28.553,Sequence Training,2020.1.3,MacIntel,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3""]","[1.158,1.39,1.723,1.96,2.137,2.427,2.718,3.168,3.583,3.751,4.087,4.402,4.791,5.077,5.236,5.601,5.92,6.238,6.485,6.657,7.121,7.525,7.752,8.028,8.185,8.771,9.607,9.803]",0,7,7,7,1,42314,,10,1,2021-01-11_15h41.28.553,Sequence Training,2020.1.3,MacIntel,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[1.117,1.381,1.656,1.873,2.056,2.473,2.749,3.047,3.307,3.478,3.856,4.157,4.397,4.656,4.81,5.291,5.628,5.893,6.129,6.242,6.89,7.726,7.892,8.111,8.231,8.694,8.943,9.099,9.381,9.497]",0,8,8,8,1,42314,,10,1,2021-01-11_15h41.28.553,Sequence Training,2020.1.3,MacIntel,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2""]","[1.329,1.552,1.762,2.01,2.174,2.543,2.858,3.089,3.406,3.606,3.907,4.224,4.406,4.654,4.772,5.307,5.912,6.139,6.373,6.53,6.929,7.208,7.4,7.659,7.806,8.274,8.594,8.775,9.014,9.139,9.68,9.958]",0,9,9,9,1,42314,,10,1,2021-01-11_15h41.28.553,Sequence Training,2020.1.3,MacIntel,60
