Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[2.622,2.75,3.118,3.326,3.518,4.119,4.383,4.766,4.991,5.238,5.63,5.99,6.567,6.767,6.974,7.47,7.766,8.2,8.383,8.583]",0,0,0,0,1,41324,,10,1,2021-01-11_14h58.49.977,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[1.887,2.014,2.245,2.43,2.918,3.382,3.582,3.814,3.998,4.166,4.614,4.79,5.101,5.27,5.445,5.677,5.878,6.093,6.262,6.445,6.71,6.909,7.27,7.446,7.622,7.87,8.03,8.254,8.429,8.59,9.037,9.261,9.55,9.725,9.886]",0,1,1,1,1,41324,,10,1,2021-01-11_14h58.49.977,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[1.337,1.455,1.655,1.831,2.031,2.383,2.719,2.935,3.079,3.255,3.551,3.703,3.951,4.119,4.295,4.745,4.928,5.183,5.351,5.503,5.711,5.999,6.255,6.408,6.536,6.944,7.071,7.272,7.431,7.561,7.728,7.919,8.144,8.303,8.424,8.744,8.879,9.095,9.247,9.367,9.578,9.735,9.967]",0,2,2,2,1,41324,,10,1,2021-01-11_14h58.49.977,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[1.064,1.143,1.343,1.502,1.655,1.839,2.503,2.703,2.863,3.007,3.159,3.303,3.535,3.695,3.863,4.078,4.215,4.495,4.655,4.814,5.278,5.414,5.687,5.847,5.991,6.303,6.511,6.751,6.903,7.023,7.239,7.383,7.607,7.775,7.919,8.087,8.215,8.478,8.646,8.767,9.023,9.183,9.407,9.566,9.687,9.855,9.983]",0,3,3,3,1,41324,,10,1,2021-01-11_14h58.49.977,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.911,0.958,1.165,1.326,1.469,1.661,1.813,2.022,2.173,2.326,2.502,2.621,2.806,2.965,3.111,3.27,3.397,3.613,3.773,3.926,4.117,4.278,4.55,4.853,5.069,5.373,5.501,5.701,5.853,5.965,6.117,6.261,6.445,6.589,6.685,7.021,7.142,7.325,7.485,7.59,7.733,7.837,8.045,8.197,8.294,9.821,9.949]",0,4,4,4,1,41324,,30,1,2021-01-11_14h58.49.977,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""4"",""2"",""1"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4""]","[1.471,1.598,4.03,4.15,4.342,5.774,5.878,6.046,6.246,6.414,6.998,7.446,8.102,8.294,8.43,8.702,9.07,9.302,9.558,9.734,9.974]",0,5,5,5,1,42314,,10,1,2021-01-11_14h58.49.977,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2""]","[1.598,1.711,1.91,2.102,2.261,2.95,3.078,3.27,3.469,3.645,3.862,4.437,4.645,4.845,4.998,5.35,5.629,5.854,6.07,6.173,6.918,7.029,7.311,7.494,7.629,7.845,8.021,8.238,8.413,8.494,9.581,9.821]",0,6,6,6,1,42314,,10,1,2021-01-11_14h58.49.977,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1""]","[0.982,1.093,1.269,1.461,1.613,1.828,2.069,2.278,2.485,2.653,2.845,3.349,3.701,3.896,4.045,4.236,4.732,4.965,5.157,5.301,5.501,5.741,6.149,6.797,6.933,7.277,7.413,7.789,7.973,8.052,9.013,9.125,9.781,9.989]",0,7,7,7,1,42314,,10,1,2021-01-11_14h58.49.977,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4""]","[1.109,1.212,1.356,1.54,1.684,1.862,2.028,2.236,2.445,2.588,2.764,3.068,3.348,3.54,3.668,3.844,4.052,4.38,4.588,4.74,5.18,5.324,5.588,5.78,5.9,6.078,6.468,6.74,6.924,7.044,7.244,7.404,7.724,7.932,8.052,8.5,8.661,9.061,9.246,9.34]",0,8,8,8,1,42314,,10,1,2021-01-11_14h58.49.977,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2""]","[0.826,0.93,1.066,1.241,1.377,1.553,1.825,2.097,2.305,2.435,2.594,2.777,3.025,3.281,3.418,3.705,3.865,4.106,4.305,4.457,4.897,5.057,5.418,5.618,5.761,5.977,6.145,6.361,6.569,6.705,6.977,7.153,7.418,7.625,7.769,8.035,8.281,8.601,8.786,8.913,9.625,9.761]",0,9,9,9,1,42314,,10,1,2021-01-11_14h58.49.977,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""1"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3""]","[1.267,1.354,1.529,1.714,1.866,2.611,2.778,3.05,3.218,3.361,3.57,3.913,4.242,4.413,4.578,4.754,4.882,5.121,5.298,5.474,5.681,5.818,6.074,6.25,6.411,6.594,6.713,6.945,8.297,8.458,8.674,8.85,9.011,9.442,9.611,9.85]",0,10,10,10,1,41324,,10,1,2021-01-11_14h58.49.977,Sequence Training,2020.1.3,Win32,60
