Key_Response.keys,Key_Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Sequences,Repeat,BreakTime,session,date,expName,psychopyVersion,OS,frameRate
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2""]","[0.819,1.076,1.588,1.85,2.086,2.839,3.069,3.314,3.55,3.815,4.324,4.521,4.755,4.995,5.201,5.637,5.917,6.22,6.577,6.797,7.32,7.631,7.915,8.181,8.423,8.858,9.127,9.467,9.777]",0,0,0,0,1,41324,,10,1,2020-10-06_10h53.39.739,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""3"",""3"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""3"",""1"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.931,1.172,1.349,1.559,1.7,2.039,2.144,2.883,3.281,3.646,3.87,4.114,4.309,4.517,4.717,4.9,5.146,5.311,5.567,6.633,7.268,7.476,7.688,7.907,8.098,8.596,8.879,9.115,9.312,9.503,9.816,10.014]",0,1,1,1,1,41324,,10,1,2020-10-06_10h53.39.739,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[1.204,1.4,1.664,1.894,2.125,2.449,2.634,2.855,3.067,3.236,3.533,3.74,4.033,4.293,4.484,4.778,4.977,5.225,5.494,5.697,5.98,6.176,6.415,6.647,6.86,7.117,7.279,7.546,7.781,8.005,8.274,8.461,8.727,8.999,9.234,9.577,9.849]",0,2,2,2,1,41324,,10,1,2020-10-06_10h53.39.739,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1""]","[0.495,0.687,0.97,1.214,1.413,1.69,1.854,2.123,2.442,2.705,3.026,3.182,3.41,3.615,3.793,4.061,4.237,4.459,4.649,4.829,5.077,5.274,5.507,5.724,5.894,6.42,6.702,6.968,7.172,7.368,7.625,7.838,8.064,8.276,8.459,8.707,8.866,9.109,9.298,9.521,9.807,9.999]",0,3,3,3,1,41324,,10,1,2020-10-06_10h53.39.739,Sequence Training,2020.1.3,Win32,60
"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4"",""4"",""1"",""3"",""2"",""4""]","[0.715,1.12,1.402,1.616,1.877,2.152,2.281,2.507,2.7,2.893,3.149,3.27,3.494,3.692,3.875,4.117,4.262,4.476,4.669,4.858,5.1,5.238,5.453,5.643,5.844,6.092,6.252,6.476,6.713,6.921,7.164,7.312,7.544,7.743,7.909,8.154,8.314,8.54,8.763,8.973,9.206,9.343,9.582,9.759,9.952]",0,4,4,4,1,41324,,30,1,2020-10-06_10h53.39.739,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1""]","[0.564,0.92,1.171,1.419,1.622,2.681,2.93,3.199,3.438,3.693,4.119,4.416,4.715,5.028,5.377,5.744,6.506,6.738,6.989,7.229,7.604,7.874,8.119,8.387,8.587,8.988,9.294,9.53,9.816]",0,5,5,5,1,42314,,10,1,2020-10-06_10h53.39.739,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3""]","[0.514,0.789,1.067,1.283,1.515,1.804,2.05,2.289,2.541,2.786,3.118,3.35,3.601,3.896,4.189,4.57,4.923,5.169,5.392,5.626,5.969,6.208,6.439,6.72,7.004,7.404,7.707,7.988,8.241,8.495,9.096,9.494,9.779]",0,6,6,6,1,42314,,10,1,2020-10-06_10h53.39.739,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2""]","[0.653,0.92,1.185,1.386,1.644,2.068,2.342,2.535,2.736,2.92,3.229,3.572,3.836,4.056,4.253,4.563,4.775,4.98,5.191,5.397,5.721,6.028,6.335,6.575,6.778,7.093,7.298,7.512,7.739,7.933,8.273,8.503,8.698,8.91,9.108,9.571,9.842]",0,7,7,7,1,42314,,10,1,2020-10-06_10h53.39.739,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4""]","[0.449,0.682,0.9,1.092,1.269,1.57,1.768,1.985,2.231,2.406,3.149,3.437,3.637,3.786,3.97,4.83,5.086,5.312,5.518,5.685,5.974,6.196,6.425,6.635,6.82,7.124,7.359,7.557,7.758,7.946,8.522,8.772,8.967,9.158,9.348,9.959]",0,8,8,8,1,42314,,10,1,2020-10-06_10h53.39.739,Sequence Training,2020.1.3,Win32,60
"[""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4"",""2"",""3"",""1"",""4"",""4""]","[0.404,1.087,1.341,1.549,1.744,1.998,2.199,2.403,2.65,2.841,3.084,3.293,3.511,3.74,3.977,4.252,4.461,4.68,4.886,5.092,5.353,5.57,5.77,5.971,6.182,6.473,6.72,6.992,7.223,7.442,7.707,7.918,8.159,8.357,8.564,8.831,9.035,9.257,9.473,9.675,9.946]",0,9,9,9,1,42314,,10,1,2020-10-06_10h53.39.739,Sequence Training,2020.1.3,Win32,60
